Date;Texte;Année;Catégorie;Poules_Cités
2023-01-23;malade (moi);2023;Santé / Soins;Aucune
2023-01-28;Cunégonde pique Shrek;2023;Comportement;Cunégonde, Shrek
2023-01-29;aliment poulette+vitamines;2023;Santé / Soins;Aucune
2023-02-01;pas sûre de l'œuf de Pioupioute;2023;Suivi de Ponte / Observation;Pioupioute
2023-02-02;petit lait en boisson;2023;Anomalies Œufs;Aucune
2023-02-02;aliment pondeuse;2023;Alimentation;Aucune
2023-02-03;petit lait+aliment;2023;Anomalies Œufs;Aucune
2023-02-04;petit lait+aliment;2023;Anomalies Œufs;Aucune
2023-02-05;aliment;2023;Alimentation;Aucune
2023-02-11;aliment+blé;2023;Alimentation;Aucune
2023-02-18;avipar(vermifuge naturel);2023;Santé / Soins;Aucune
2023-02-20;antibio Pioupioute suspicion pb génital;2023;Santé / Soins;Pioupioute
2023-02-23;pluie nuit 22,à23/02;2023;Météo / Environnement;Aucune
2023-02-24;pluie nuit 23,à24/02;2023;Météo / Environnement;Aucune
2023-03-08;lentypou;2023;Santé / Soins;Aucune
2023-03-09;qq gouttes dans la nuit;2023;Météo / Environnement;Aucune
2023-03-12;17°C à 3h30 du mat;2023;Météo / Environnement;Aucune
2023-03-14;pluie nuit du 13/03 au 14/03;2023;Météo / Environnement;Aucune
2023-03-17;arrêt lentypou;2023;Santé / Soins;Aucune
2023-03-20;pas sûr de l'œuf de Rémiel;2023;Suivi de Ponte / Observation;Rémiel
2023-03-25;Pioupioute à l'ENVT;2023;Santé / Soins;Pioupioute
2023-03-26;trouvé un micro œuf;2023;Anomalies Œufs;Aucune
2023-03-27;tempête la nuit;2023;Météo / Environnement;Aucune
2023-04-01;œuf d'Augustine trouvé dans le jardin, pas sûr du jour de ponte;2023;Localisation Œufs;Augustine
2023-04-02;Augustine malade: amirudène 7J;2023;Santé / Soins;Augustine
2023-04-04;Augustine DCD;2023;Santé / Soins;Augustine
2023-04-05;aliment pondeuse;2023;Alimentation;Aucune
2023-04-15;arrêt antibiotique Pioupioute;2023;Santé / Soins;Pioupioute
2023-04-15;ponction à l'envt;2023;Santé / Soins;Aucune
2023-04-16;Pioupioute a pondu un œuf normal;2023;Installation / Technique;Pioupioute
2023-04-16;veut couver;2023;Comportement;Aucune
2023-04-23;15°C à 5h du mat;2023;Météo / Environnement;Aucune
2023-04-24;découverte d'une fibrine (?) dans le poulailler;2023;Anomalies Œufs;Aucune
2023-04-24;mini œuf de Saquiel?;2023;Suivi de Ponte / Observation;Saquiel
2023-04-30;œuf d'Albertine très clair;2023;Suivi de Ponte / Observation;Albertine
2023-05-01;dont 29mm dans la nuit du 29 au 30/04;2023;Météo / Environnement;Aucune
2023-05-07;1 œuf trouvé dans le poulailler cassé;2023;Anomalies Œufs;Aucune
2023-05-16;petit trou dans certains œufs, à surveiller si poules ou pie;2023;Anomalies Œufs;Aucune
2023-06-04;changement de poulailler;2023;Installation / Technique;Aucune
2023-06-13;les 2 œufs ont été cassé par une poule ou une bête;2023;Anomalies Œufs;Aucune
2023-06-14;l'œuf d'Albertine très fragile, elle a des vers en plus;2023;Suivi de Ponte / Observation;Albertine
2023-06-14;Avipar;2023;Santé / Soins;Aucune
2023-06-14;Avipou;2023;Santé / Soins;Aucune
2023-06-16;Saquiel malade;2023;Santé / Soins;Saquiel
2023-06-16;doxycycline;2023;Santé / Soins;Aucune
2023-06-18;0 œuf;2023;Anomalies Œufs;Aucune
2023-06-20;quelques gouttes;2023;Météo / Environnement;Aucune
2023-06-21;œuf de Valérie très fragile trouvé ds poulailler;2023;Localisation Œufs;Valérie
2023-06-23;Cunégonde veut couver;2023;Comportement;Cunégonde
2023-07-01;8 œuf sous Cunégonde: 6marans+1valérie+1joséphine;2023;Installation / Technique;Cunégonde
2023-07-02;1œuf valérie et 1oeuf Joséphine sous Cunégonde;2023;Suivi de Ponte / Observation;Joséphine, Cunégonde, Valérie
2023-07-03;1oeuf Albertine et un œuf Valérie donc 12 œufs sous Cunégonde;2023;Suivi de Ponte / Observation;Albertine, Cunégonde, Valérie
2023-07-05;Valérie tousse, avicoryl dans l'eau;2023;Santé / Soins;Valérie
2023-07-08;vit C dans l'eau+oligoélément;2023;Santé / Soins;Aucune
2023-07-10;21°c et 80%H le matin;2023;Météo / Environnement;Aucune
2023-07-11;22°C et 82%H  matin, 27°c à 22h;2023;Météo / Environnement;Aucune
2023-07-12;œuf d'Albertine et Rémiel pondu cette nuit dans le poulailler;2023;Installation / Technique;Albertine, Rémiel
