Date;Poule;niveau_observation;Ponte;Etat_oeuf;Doute;Effectif;Remarques
2023-01-01;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-01;Valérie;individuel;0;RAS;False;1;RAS
2023-01-01;Saquiel;individuel;0;RAS;True;1;?
2023-01-01;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-01;MARANS;groupe;0;RAS;False;1;RAS
2023-01-01;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-01;Augustine;individuel;0;RAS;False;1;RAS
2023-01-01;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-02;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-02;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-02;Saquiel;individuel;0;RAS;True;1;?
2023-01-02;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-02;Augustine;individuel;0;RAS;False;1;RAS
2023-01-02;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-02;Valérie;individuel;0;RAS;False;1;RAS
2023-01-02;MARANS;groupe;0;RAS;False;1;RAS
2023-01-03;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-03;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-03;MARANS;groupe;0;RAS;False;1;RAS
2023-01-03;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-03;Saquiel;individuel;0;RAS;True;1;?
2023-01-03;Augustine;individuel;0;RAS;False;1;RAS
2023-01-03;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-03;Valérie;individuel;0;RAS;False;1;RAS
2023-01-04;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-04;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-04;Valérie;individuel;0;RAS;False;1;RAS
2023-01-04;Augustine;individuel;0;RAS;False;1;RAS
2023-01-04;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-04;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-04;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-04;MARANS;groupe;0;RAS;False;1;RAS
2023-01-05;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-05;MARANS;groupe;0;RAS;False;1;RAS
2023-01-05;Rémiel;individuel;1;RAS;False;1;RAS
2023-01-05;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-05;Valérie;individuel;0;RAS;False;1;RAS
2023-01-05;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-05;Augustine;individuel;0;RAS;False;1;RAS
2023-01-05;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-06;Valérie;individuel;0;RAS;False;1;RAS
2023-01-06;MARANS;groupe;0;RAS;False;1;RAS
2023-01-06;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-06;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-06;Augustine;individuel;0;RAS;False;1;RAS
2023-01-06;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-06;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-06;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-07;MARANS;groupe;0;RAS;False;1;RAS
2023-01-07;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-07;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-07;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-07;Joséphine;individuel;1;RAS;False;1;RAS
