Date;Effectif;Nombre_pontes;Météo;Pluie(mm);T°C (12h-15h);Humidité;Météo.1;Météo_1;Météo_2;Météo_3;Météo_4;Météo_1_Cat;Météo_2_Cat;Météo_3_Cat;Météo_4_Cat
2023-01-01;8;2;beau;0.0;14.0;;beau;beau;;;;BEAU;;;
2023-01-02;8;2;beau;0.0;13.0;;beau;beau;;;;BEAU;;;
2023-01-03;8;2;beau;0.0;12.0;;beau;beau;;;;BEAU;;;
2023-01-04;8;2;beau;0.0;15.0;;beau;beau;;;;BEAU;;;
2023-01-05;8;3;beau;0.0;14.0;;beau;beau;;;;BEAU;;;
2023-01-06;8;2;beau;0.0;14.0;;beau;beau;;;;BEAU;;;
2023-01-07;8;1;beau;0.0;13.0;;beau;beau;;;;BEAU;;;
2023-01-08;8;3;mitigé;0.0;9.0;;mitigé;mitigé;;;;MITIGE;;;
2023-01-09;8;2;vent/éclaircie;16.0;8.0;;vent/éclaircie;vent;éclaircie;;;VENT;ECLAIRCIES;;
2023-01-10;8;2;beau;0.0;14.0;;beau;beau;;;;BEAU;;;
2023-01-11;8;3;beau;0.0;9.0;;beau;beau;;;;BEAU;;;
2023-01-12;8;3;beau;0.0;12.0;;beau;beau;;;;BEAU;;;
2023-01-13;8;1;mitigé;0.0;13.0;;mitigé;mitigé;;;;MITIGE;;;
2023-01-14;8;3;beau;0.0;13.0;;beau;beau;;;;BEAU;;;
2023-01-15;8;2;pluie/beau;2.0;10.0;;pluie/beau;pluie;beau;;;PLUIE;BEAU;;
2023-01-16;8;2;pluie/vent;50.0;6.0;;pluie/vent;pluie;vent;;;PLUIE;VENT;;
2023-01-17;8;2;pluie/vent;1.0;5.0;;pluie/vent;pluie;vent;;;PLUIE;VENT;;
2023-01-18;8;3;pluie/éclaircie;5.0;5.0;;pluie/éclaircie;pluie;éclaircie;;;PLUIE;ECLAIRCIES;;
2023-01-19;8;2;couvert/éclaircie;0.0;5.0;;couvert/éclaircie;couvert;éclaircie;;;COUVERT;ECLAIRCIES;;
2023-01-20;8;3;pluie/neige/soleil;12.0;5.0;;pluie/neige/soleil;pluie;neige;soleil;;PLUIE;NEIGE;BEAU;
