Date;Météo;Pluie(mm);T°C (12h-15h);Humidité;THI
2023-01-01;beau;0.0;14.0;;
2023-01-02;beau;0.0;13.0;;
2023-01-03;beau;0.0;12.0;;
2023-01-04;beau;0.0;15.0;;
2023-01-05;beau;0.0;14.0;;
2023-01-06;beau;0.0;14.0;;
2023-01-07;beau;0.0;13.0;;
2023-01-08;mitigé;0.0;9.0;;
2023-01-09;vent/éclaircie;16.0;8.0;;
2023-01-10;beau;0.0;14.0;;
2023-01-11;beau;0.0;9.0;;
2023-01-12;beau;0.0;12.0;;
2023-01-13;mitigé;0.0;13.0;;
2023-01-14;beau;0.0;13.0;;
2023-01-15;pluie/beau;2.0;10.0;;
2023-01-16;pluie/vent;50.0;6.0;;
2023-01-17;pluie/vent;1.0;5.0;;
2023-01-18;pluie/éclaircie;5.0;5.0;;
2023-01-19;couvert/éclaircie;0.0;5.0;;
2023-01-20;pluie/neige/soleil;12.0;5.0;;
2023-01-21;pluie/neige/soleil/vent;2.0;2.0;;
2023-01-22;Couvert/vent;0.0;0.0;;
2023-01-23;;0.0;1.0;;
2023-01-24;couvert/éclaircie;0.0;2.0;;
2023-01-25;couvert;0.0;0.0;;
2023-01-26;couvert;0.0;0.0;;
2023-01-27;couvert;0.0;0.0;;
2023-01-28;couvert;0.0;0.0;;
2023-01-29;couvert;0.0;0.0;;
2023-01-30;éclaircie;0.0;4.0;;
2023-01-31;beau temps;0.0;8.0;;
2023-02-01;beau temps;0.0;10.0;;
2023-02-02;beau temps;0.0;12.0;;
2023-02-03;beau temps;0.0;12.0;;
2023-02-04;beau temps;0.0;10.0;;
2023-02-05;beau temps;0.0;10.0;;
2023-02-06;beau temps;0.0;12.0;;
2023-02-07;couvert/vent;0.0;8.0;;
2023-02-08;beau/vent;0.0;8.0;;
2023-02-09;beau;0.0;10.0;;
2023-02-10;beau;0.0;14.0;;
2023-02-11;beau;0.0;14.0;;
2023-02-12;beau;0.0;14.0;;
2023-02-13;beau;0.0;15.0;;
2023-02-14;beau;0.0;15.0;;
2023-02-15;beau;0.0;16.0;;
2023-02-16;beau;0.0;16.0;;
2023-02-17;beau;0.0;16.0;;
2023-02-18;beau;0.0;18.0;;
2023-02-19;beau;0.0;18.0;;
2023-02-20;beau;0.0;20.0;;
2023-02-21;mitigé;0.0;15.0;;
2023-02-22;couvert;0.0;13.0;;
2023-02-23;couvert;4.0;11.0;;
2023-02-24;beau;2.5;12.0;;
2023-02-25;couvert;0.0;7.0;;
2023-02-26;vent/froid/couvert;0.0;5.0;;
2023-02-27;vent/neige/éclaircie;0.0;1.0;;
2023-02-28;éclaircie/vent;0.0;2.0;;
2023-03-01;beau;0.0;8.0;;
2023-03-02;couvert;0.0;7.0;;
2023-03-03;couvert;0.0;7.0;;
2023-03-04;éclaircie;1.5;10.0;;
2023-03-05;éclaircie;0.0;10.0;;
2023-03-06;beau;0.0;10.0;;
2023-03-07;éclaircie/averse;0.0;12.0;;
2023-03-08;voilé;2.0;23.0;;
2023-03-09;éclaircies;0.0;20.0;;
2023-03-10;mitigé;0.5;18.0;;
2023-03-11;mitigé/vent violent;0.0;15.0;;
2023-03-12;vent/pluie;0.5;15.0;;
2023-03-13;bruine puis très beau;4.0;23.0;;
