Date;Poule_brute;Ponte_brute;Ponte;Effectif;Etat_oeuf;Doute;Remarques;niveau_observation;group_id
2023-01-01;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-01;Valérie;;0;1;RAS;False;;individuel;
2023-01-01;Saquiel;?;0;1;RAS;True;?;individuel;
2023-01-01;Rémiel;;0;1;RAS;False;;individuel;
2023-01-01;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-01;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-01;Augustine;;0;1;RAS;False;;individuel;
2023-01-01;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-02;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-02;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-02;Saquiel;?;0;1;RAS;True;?;individuel;
2023-01-02;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-02;Augustine;;0;1;RAS;False;;individuel;
2023-01-02;Rémiel;;0;1;RAS;False;;individuel;
2023-01-02;Valérie;;0;1;RAS;False;;individuel;
2023-01-02;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-03;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-03;Rémiel;;0;1;RAS;False;;individuel;
2023-01-03;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-03;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-03;Saquiel;?;0;1;RAS;True;?;individuel;
2023-01-03;Augustine;;0;1;RAS;False;;individuel;
2023-01-03;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-03;Valérie;;0;1;RAS;False;;individuel;
2023-01-04;Rémiel;;0;1;RAS;False;;individuel;
2023-01-04;Saquiel;x;1;1;RAS;False;;individuel;
2023-01-04;Valérie;;0;1;RAS;False;;individuel;
2023-01-04;Augustine;;0;1;RAS;False;;individuel;
2023-01-04;Cunégonde;;0;1;RAS;False;;individuel;
2023-01-04;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-04;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-04;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-05;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-05;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-05;Rémiel;x;1;1;RAS;False;;individuel;
2023-01-05;Joséphine;x;1;1;RAS;False;;individuel;
2023-01-05;Valérie;;0;1;RAS;False;;individuel;
2023-01-05;Saquiel;;0;1;RAS;False;;individuel;
2023-01-05;Augustine;;0;1;RAS;False;;individuel;
2023-01-05;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-06;Valérie;;0;1;RAS;False;;individuel;
2023-01-06;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-01-06;Cunégonde;x;1;1;RAS;False;;individuel;
