Date;Commentaires;œuf trouvé/date de la trouvaille
2023-01-01;;
2023-01-02;;
2023-01-03;;
2023-01-04;;
2023-01-05;;
2023-01-06;;
2023-01-07;;
2023-01-08;;
2023-01-09;;
2023-01-10;;
2023-01-11;;
2023-01-12;;
2023-01-13;;
2023-01-14;;
2023-01-15;;
2023-01-16;;
2023-01-17;;
2023-01-18;;
2023-01-19;;
2023-01-20;;
2023-01-21;;
2023-01-22;;
2023-01-23;malade (moi);
2023-01-24;;
2023-01-25;;
2023-01-26;;
2023-01-27;;
2023-01-28;Cunégonde pique Shrek;
2023-01-29;aliment poulette+vitamines;
2023-01-30;;
2023-01-31;;
2023-02-01;pas sûre de l'œuf de Pioupioute;
2023-02-02;petit lait en boisson/aliment pondeuse;
2023-02-03;petit lait+aliment;
2023-02-04;petit lait+aliment;
2023-02-05;aliment;
2023-02-06;;
2023-02-07;;
2023-02-08;;
2023-02-09;;
2023-02-10;;
2023-02-11;aliment+blé;
2023-02-12;;
2023-02-13;;
2023-02-14;;
2023-02-15;;
2023-02-16;;
2023-02-17;;
2023-02-18;avipar(vermifuge naturel);
2023-02-19;;
2023-02-20;antibio Pioupioute suspicion pb génital;
2023-02-21;;
2023-02-22;;
2023-02-23;pluie nuit 22,à23/02;
2023-02-24;pluie nuit 23,à24/02;
2023-02-25;;
2023-02-26;;
2023-02-27;;
2023-02-28;;
2023-03-01;;
2023-03-02;;
2023-03-03;;
2023-03-04;;
2023-03-05;;
2023-03-06;;
2023-03-07;;
2023-03-08;lentypou;
2023-03-09;qq gouttes dans la nuit;
2023-03-10;;
2023-03-11;;
2023-03-12;17°C à 3h30 du mat;
2023-03-13;;
2023-03-14;pluie nuit du 13/03 au 14/03;
2023-03-15;;
2023-03-16;;
2023-03-17;arrêt lentypou;
2023-03-18;;
2023-03-19;;
2023-03-20;pas sûr de l'œuf de Rémiel;
2023-03-21;;
2023-03-22;;
2023-03-23;;
2023-03-24;;
2023-03-25;Pioupioute à l'ENVT;
2023-03-26;trouvé un micro œuf;
2023-03-27;tempête la nuit;
2023-03-28;;
2023-03-29;;
2023-03-30;;
2023-03-31;;
2023-04-01;œuf d'Augustine trouvé dans le jardin, pas sûr du jour de ponte;
2023-04-02;Augustine malade: amirudène 7J;
2023-04-03;;
2023-04-04;Augustine DCD;
2023-04-05;aliment pondeuse;
2023-04-06;;
2023-04-07;;
2023-04-08;;
2023-04-09;;
2023-04-10;;
2023-04-11;;
2023-04-12;;
2023-04-13;;
2023-04-14;;
2023-04-15;arrêt antibiotique Pioupioute/ponction à l'envt;
2023-04-16;Pioupioute a pondu un œuf normal/veut couver;
2023-04-17;;
2023-04-18;;
2023-04-19;;
2023-04-20;;
2023-04-21;;
2023-04-22;;
2023-04-23;15°C à 5h du mat;
2023-04-24;découverte d'une fibrine (?) dans le poulailler/mini œuf de Saquiel?;
2023-04-25;;
2023-04-26;;
2023-04-27;;
2023-04-28;;
2023-04-29;;
2023-04-30;œuf d'Albertine très clair;
2023-05-01;dont 29mm dans la nuit du 29 au 30/04;
2023-05-02;;
2023-05-03;;
2023-05-04;;
2023-05-05;;
2023-05-06;;
2023-05-07;1 œuf trouvé dans le poulailler cassé;
2023-05-08;;
2023-05-09;;
2023-05-10;;
2023-05-11;;
2023-05-12;;
2023-05-13;;
2023-05-14;;
2023-05-15;;
2023-05-16;petit trou dans certains œufs, à surveiller si poules ou pie;
2023-05-17;;
2023-05-18;;
2023-05-19;;
2023-05-20;;
2023-05-21;;
2023-05-22;;
2023-05-23;;
2023-05-24;;
2023-05-25;;
2023-05-26;;
2023-05-27;;
2023-05-28;;
2023-05-29;;
2023-05-30;;
2023-05-31;;
2023-06-01;;
2023-06-02;;
2023-06-03;;
2023-06-04;changement de poulailler;
2023-06-05;;
2023-06-06;;
2023-06-07;;
2023-06-08;;
2023-06-09;;
2023-06-10;;
2023-06-11;;
2023-06-12;;
2023-06-13;les 2 œufs ont été cassé par une poule ou une bête;
2023-06-14;l'œuf d'Albertine très fragile, elle a des vers en plus/ Avipar/Avipou;
2023-06-15;;
2023-06-16;Saquiel malade/doxycycline;
2023-06-17;;
2023-06-18;0 œuf;
2023-06-19;;
2023-06-20;quelques gouttes;
2023-06-21;œuf de Valérie très fragile trouvé ds poulailler;
2023-06-22;;
2023-06-23;Cunégonde veut couver;
2023-06-24;;
2023-06-25;;
2023-06-26;;
2023-06-27;;
2023-06-28;;
2023-06-29;;
2023-06-30;;
2023-07-01;8 œuf sous Cunégonde: 6marans+1valérie+1joséphine;
2023-07-02;1œuf valérie et 1oeuf Joséphine sous Cunégonde;
2023-07-03;1oeuf Albertine et un œuf Valérie donc 12 œufs sous Cunégonde;
2023-07-04;;
2023-07-05;Valérie tousse, avicoryl dans l'eau;
2023-07-06;;
2023-07-07;;
2023-07-08;vit C dans l'eau+oligoélément;
2023-07-09;;
2023-07-10;21°c et 80%H le matin;
2023-07-11;22°C et 82%H  matin, 27°c à 22h;
2023-07-12;œuf d'Albertine et Rémiel pondu cette nuit dans le poulailler;
2023-07-13;;
2023-07-14;;
2023-07-15;fin doxycyline pour Saquiel/ 24°C et 75%H à 23h ext/0 œuf;
2023-07-16;17°C et 80%H à 20h;
2023-07-17;;
2023-07-18;installation voile d'ombrage sur la terrasse;
2023-07-19;36°C à 16h/26° à 22h30/ Joséphine semble vouloir couver;
2023-07-20;orages la nuit du 18 au 19/07;
2023-07-21;Valérie semble vouloir couver aussi cette coquine!!;
2023-07-22;Valérie couve…........;
2023-07-23;;
2023-07-24;0 œuf/ 26°c à 21h30;
2023-07-25;;
2023-07-26;trouvé 1 œuf d'Albertine dans le jardin;
2023-07-27;;
2023-07-28;0 œuf;
2023-07-29;;
2023-07-30;;
2023-07-31;;
2023-08-01;découverte de poux rouges/retour dans l'ancien poulailler/T°p=T°ext;
2023-08-02;"retour dans le poulailler ""terrasse""";
2023-08-03;traitement exzolt;
2023-08-04;;
2023-08-05;1 œuf cassé et 1 œuf mou/retour ancien poulailler;
2023-08-06;;
2023-08-07;;
2023-08-08;0 œuf;
2023-08-09;0 oeuf/T°C poulailler à 22-23h;
2023-08-10;traitement exzolt;
2023-08-11;avhydratC+Gascodrène;
2023-08-12;avhydratC+Gascodrène;
2023-08-13;avhydratC+Gascodrène;
2023-08-14;avhydratC+Gascodrène;
2023-08-15;avhydratC+Gascodrène;
2023-08-16;;
2023-08-17;;
2023-08-18;avhydrat C+gascodrène;
2023-08-19;avhydratC+Gascodrène;
2023-08-20;avhydratC+Gascodrène;
2023-08-21;avhydratC+Gascodrène;
2023-08-22;idem;
2023-08-23;C+Gasco/ nuit tropicale 27°c/ 73% H à 22h40;
2023-08-24;C+Gasco;
2023-08-25;c+Gasco;
2023-08-26;;
2023-08-27;;
2023-08-28;;
2023-08-29;;
2023-08-30;;
2023-08-31;;
2023-09-01;;
2023-09-02;;
2023-09-03;trouvé un oeuf minuscule Saquiel ou Albertine;
2023-09-04;;
2023-09-05;sable du Sahara dans l'air;
2023-09-06;sable du Sahara dans l'air;
2023-09-07;sable du Sahara dans l'air;
2023-09-08;;
2023-09-09;;
2023-09-10;;
2023-09-11;;
2023-09-12;;
2023-09-13;;
2023-09-14;;
2023-09-15;;
2023-09-16;;
2023-09-17;;
2023-09-18;;
2023-09-19;;
2023-09-20;;
2023-09-21;;
2023-09-22;;
2023-09-23;;
2023-09-24;;
2023-09-25;;
2023-09-26;;
2023-09-27;;
2023-09-28;;
2023-09-29;;
2023-09-30;;
2023-10-01;;
2023-10-02;;
2023-10-03;;
2023-10-04;;
2023-10-05;;
2023-10-06;;
2023-10-07;;
2023-10-08;;
2023-10-09;;
2023-10-10;;
2023-10-11;;
2023-10-12;;
2023-10-13;;
