Date;Poule_brute;Ponte_brute;niveau_observation;group_id
2023-01-01;Joséphine;x;individuel;
2023-01-01;Valérie;;individuel;
2023-01-01;Saquiel;?;individuel;
2023-01-01;Rémiel;;individuel;
2023-01-01;MARANS;;groupe;MARANS
2023-01-01;Cunégonde;x;individuel;
2023-01-01;Augustine;;individuel;
2023-01-01;Pioupioute;;individuel;
2023-01-02;Joséphine;x;individuel;
2023-01-02;Cunégonde;x;individuel;
2023-01-02;Saquiel;?;individuel;
2023-01-02;Pioupioute;;individuel;
2023-01-02;Augustine;;individuel;
2023-01-02;Rémiel;;individuel;
2023-01-02;Valérie;;individuel;
2023-01-02;MARANS;;groupe;MARANS
2023-01-03;Pioupioute;;individuel;
2023-01-03;Rémiel;;individuel;
2023-01-03;MARANS;;groupe;MARANS
2023-01-03;Cunégonde;x;individuel;
2023-01-03;Saquiel;?;individuel;
2023-01-03;Augustine;;individuel;
2023-01-03;Joséphine;x;individuel;
2023-01-03;Valérie;;individuel;
2023-01-04;Rémiel;;individuel;
2023-01-04;Saquiel;x;individuel;
2023-01-04;Valérie;;individuel;
2023-01-04;Augustine;;individuel;
2023-01-04;Cunégonde;;individuel;
2023-01-04;Pioupioute;;individuel;
2023-01-04;Joséphine;x;individuel;
2023-01-04;MARANS;;groupe;MARANS
2023-01-05;Cunégonde;x;individuel;
2023-01-05;MARANS;;groupe;MARANS
2023-01-05;Rémiel;x;individuel;
2023-01-05;Joséphine;x;individuel;
2023-01-05;Valérie;;individuel;
2023-01-05;Saquiel;;individuel;
2023-01-05;Augustine;;individuel;
2023-01-05;Pioupioute;;individuel;
2023-01-06;Valérie;;individuel;
2023-01-06;MARANS;;groupe;MARANS
2023-01-06;Cunégonde;x;individuel;
2023-01-06;Rémiel;;individuel;
2023-01-06;Augustine;;individuel;
2023-01-06;Saquiel;;individuel;
2023-01-06;Pioupioute;;individuel;
2023-01-06;Joséphine;x;individuel;
2023-01-07;MARANS;;groupe;MARANS
2023-01-07;Cunégonde;;individuel;
2023-01-07;Saquiel;;individuel;
