Date;Ponte_brute;niveau_observation;group_id;Ponte;Etat_oeuf;Doute;Effectif;Remarques;Poule_brute
2023-01-01;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-01;;individuel;;0;RAS;False;1;;Augustine
2023-01-01;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-01;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-01;;individuel;;0;RAS;False;1;;Rémiel
2023-01-01;?;individuel;;0;RAS;True;1;?;Saquiel
2023-01-01;;individuel;;0;RAS;False;1;;Valérie
2023-01-01;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-02;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-02;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-02;?;individuel;;0;RAS;True;1;?;Saquiel
2023-01-02;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-02;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-02;;individuel;;0;RAS;False;1;;Augustine
2023-01-02;;individuel;;0;RAS;False;1;;Rémiel
2023-01-02;;individuel;;0;RAS;False;1;;Valérie
2023-01-03;;individuel;;0;RAS;False;1;;Valérie
2023-01-03;;individuel;;0;RAS;False;1;;Augustine
2023-01-03;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-03;?;individuel;;0;RAS;True;1;?;Saquiel
2023-01-03;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-03;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-03;;individuel;;0;RAS;False;1;;Rémiel
2023-01-03;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-04;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-04;;individuel;;0;RAS;False;1;;Rémiel
2023-01-04;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-04;;individuel;;0;RAS;False;1;;Valérie
2023-01-04;;individuel;;0;RAS;False;1;;Augustine
2023-01-04;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-04;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-04;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-05;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-05;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-05;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-05;;individuel;;0;RAS;False;1;;Saquiel
2023-01-05;;individuel;;0;RAS;False;1;;Valérie
2023-01-05;x;individuel;;1;RAS;False;1;;Rémiel
2023-01-05;;individuel;;0;RAS;False;1;;Augustine
2023-01-05;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-06;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-06;;individuel;;0;RAS;False;1;;Saquiel
2023-01-06;;individuel;;0;RAS;False;1;;Rémiel
2023-01-06;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-06;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-06;;individuel;;0;RAS;False;1;;Augustine
2023-01-06;;individuel;;0;RAS;False;1;;Valérie
2023-01-06;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-07;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-07;;individuel;;0;RAS;False;1;;Augustine
2023-01-07;;individuel;;0;RAS;False;1;;Valérie
2023-01-07;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-07;;individuel;;0;RAS;False;1;;Rémiel
2023-01-07;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-07;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-07;;individuel;;0;RAS;False;1;;Saquiel
2023-01-08;;individuel;;0;RAS;False;1;;Augustine
2023-01-08;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-08;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-08;x;individuel;;1;RAS;False;1;;Rémiel
2023-01-08;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-08;;individuel;;0;RAS;False;1;;Valérie
2023-01-08;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-08;;individuel;;0;RAS;False;1;;Saquiel
