Date;Poule_brute;Ponte_brute;Ponte;Effectif;Etat_oeuf;Doute;Remarques
2023-01-01;Albertine;;0;1;RAS;False;
2023-01-02;Albertine;;0;1;RAS;False;
2023-01-03;Albertine;;0;1;RAS;False;
2023-01-04;Albertine;;0;1;RAS;False;
2023-01-05;Albertine;;0;1;RAS;False;
2023-01-06;Albertine;;0;1;RAS;False;
2023-01-07;Albertine;;0;1;RAS;False;
2023-01-08;Albertine;;0;1;RAS;False;
2023-01-09;Albertine;;0;1;RAS;False;
2023-01-10;Albertine;;0;1;RAS;False;
2023-01-11;Albertine;x;1;1;RAS;False;
2023-01-12;Albertine;;0;1;RAS;False;
2023-01-13;Albertine;;0;1;RAS;False;
2023-01-14;Albertine;x;1;1;RAS;False;
2023-01-15;Albertine;;0;1;RAS;False;
2023-01-16;Albertine;x;1;1;RAS;False;
2023-01-17;Albertine;;0;1;RAS;False;
2023-01-18;Albertine;;0;1;RAS;False;
2023-01-19;Albertine;x;1;1;RAS;False;
2023-01-20;Albertine;;0;1;RAS;False;
2023-01-21;Albertine;x;1;1;RAS;False;
2023-01-22;Albertine;;0;1;RAS;False;
2023-01-23;Albertine;;0;1;RAS;False;
2023-01-24;Albertine;;0;1;RAS;False;
2023-01-25;Albertine;;0;1;RAS;False;
2023-01-26;Albertine;;0;1;RAS;False;
2023-01-27;Albertine;;0;1;RAS;False;
2023-01-28;Albertine;;0;1;RAS;False;
2023-01-29;Albertine;;0;1;RAS;False;
2023-01-30;Albertine;;0;1;RAS;False;
2023-01-31;Albertine;;0;1;RAS;False;
2023-02-01;Albertine;;0;1;RAS;False;
2023-02-02;Albertine;;0;1;RAS;False;
2023-02-03;Albertine;;0;1;RAS;False;
2023-02-04;Albertine;;0;1;RAS;False;
2023-02-05;Albertine;;0;1;RAS;False;
2023-02-06;Albertine;;0;1;RAS;False;
2023-02-07;Albertine;x;1;1;RAS;False;
2023-02-08;Albertine;;0;1;RAS;False;
2023-02-09;Albertine;;0;1;RAS;False;
2023-02-10;Albertine;x;1;1;RAS;False;
2023-02-11;Albertine;;0;1;RAS;False;
2023-02-12;Albertine;x;1;1;RAS;False;
2023-02-13;Albertine;x;1;1;RAS;False;
2023-02-14;Albertine;;0;1;RAS;False;
2023-02-15;Albertine;x;1;1;RAS;False;
2023-02-16;Albertine;x;1;1;RAS;False;
2023-02-17;Albertine;;0;1;RAS;False;
2023-02-18;Albertine;x;1;1;RAS;False;
2023-02-19;Albertine;x;1;1;RAS;False;
2023-02-20;Albertine;;0;1;RAS;False;
2023-02-21;Albertine;x;1;1;RAS;False;
2023-02-22;Albertine;x;1;1;RAS;False;
2023-02-23;Albertine;;0;1;RAS;False;
2023-02-24;Albertine;x;1;1;RAS;False;
2023-02-25;Albertine;;0;1;RAS;False;
2023-02-26;Albertine;x;1;1;RAS;False;
2023-02-27;Albertine;x;1;1;RAS;False;
2023-02-28;Albertine;;0;1;RAS;False;
2023-03-01;Albertine;x;1;1;RAS;False;
2023-03-02;Albertine;;0;1;RAS;False;
2023-03-03;Albertine;x;1;1;RAS;False;
2023-03-04;Albertine;;0;1;RAS;False;
2023-03-05;Albertine;x;1;1;RAS;False;
2023-03-06;Albertine;;0;1;RAS;False;
2023-03-07;Albertine;x;1;1;RAS;False;
2023-03-08;Albertine;;0;1;RAS;False;
2023-03-09;Albertine;x;1;1;RAS;False;
2023-03-10;Albertine;x;1;1;RAS;False;
2023-03-11;Albertine;;0;1;RAS;False;
2023-03-12;Albertine;x;1;1;RAS;False;
2023-03-13;Albertine;;0;1;RAS;False;
2023-03-14;Albertine;x;1;1;RAS;False;
2023-03-15;Albertine;;0;1;RAS;False;
2023-03-16;Albertine;x;1;1;RAS;False;
2023-03-17;Albertine;x;1;1;RAS;False;
2023-03-18;Albertine;;0;1;RAS;False;
2023-03-19;Albertine;x;1;1;RAS;False;
2023-03-20;Albertine;x;1;1;RAS;False;
2023-03-21;Albertine;;0;1;RAS;False;
2023-03-22;Albertine;x;1;1;RAS;False;
2023-03-23;Albertine;x;1;1;RAS;False;
2023-03-24;Albertine;;0;1;RAS;False;
2023-03-25;Albertine;x;1;1;RAS;False;
2023-03-26;Albertine;x;1;1;RAS;False;
2023-03-27;Albertine;;0;1;RAS;False;
2023-03-28;Albertine;x;1;1;RAS;False;
2023-03-29;Albertine;x;1;1;RAS;False;
2023-03-30;Albertine;;0;1;RAS;False;
2023-03-31;Albertine;x;1;1;RAS;False;
2023-04-01;Albertine;;0;1;RAS;False;
