Date;Météo;Pluie(mm);T°C (12h-15h);Humidité;T°C (12h-15h)_traite;Humidité_traite;Météo_Corrigée;Météo_Clean;Météo_1;Météo_2;Météo_3;Météo_4
2023-01-01;beau;0.0;14.0;;14.0;;beau;beau;beau;;;
2023-01-02;beau;0.0;13.0;;13.0;;beau;beau;beau;;;
2023-01-03;beau;0.0;12.0;;12.0;;beau;beau;beau;;;
2023-01-04;beau;0.0;15.0;;15.0;;beau;beau;beau;;;
2023-01-05;beau;0.0;14.0;;14.0;;beau;beau;beau;;;
2023-01-06;beau;0.0;14.0;;14.0;;beau;beau;beau;;;
2023-01-07;beau;0.0;13.0;;13.0;;beau;beau;beau;;;
2023-01-08;mitigé;0.0;9.0;;9.0;;mitigé;mitigé;mitigé;;;
2023-01-09;vent/éclaircie;16.0;8.0;;8.0;;vent/éclaircie;vent/éclaircie;vent;éclaircie;;
2023-01-10;beau;0.0;14.0;;14.0;;beau;beau;beau;;;
2023-01-11;beau;0.0;9.0;;9.0;;beau;beau;beau;;;
2023-01-12;beau;0.0;12.0;;12.0;;beau;beau;beau;;;
2023-01-13;mitigé;0.0;13.0;;13.0;;mitigé;mitigé;mitigé;;;
2023-01-14;beau;0.0;13.0;;13.0;;beau;beau;beau;;;
2023-01-15;pluie/beau;2.0;10.0;;10.0;;pluie/beau;pluie/beau;pluie;beau;;
2023-01-16;pluie/vent;50.0;6.0;;6.0;;pluie/vent;pluie/vent;pluie;vent;;
2023-01-17;pluie/vent;1.0;5.0;;5.0;;pluie/vent;pluie/vent;pluie;vent;;
2023-01-18;pluie/éclaircie;5.0;5.0;;5.0;;pluie/éclaircie;pluie/éclaircie;pluie;éclaircie;;
2023-01-19;couvert/éclaircie;0.0;5.0;;5.0;;couvert/éclaircie;couvert/éclaircie;couvert;éclaircie;;
2023-01-20;pluie/neige/soleil;12.0;5.0;;5.0;;pluie/neige/soleil;pluie/neige/soleil;pluie;neige;soleil;
2023-01-21;pluie/neige/soleil/vent;2.0;2.0;;2.0;;pluie/neige/soleil/vent;pluie/neige/soleil/vent;pluie;neige;soleil;vent
2023-01-22;couvert/vent;0.0;0.0;;0.0;;couvert/vent;couvert/vent;couvert;vent;;
2023-01-23;;0.0;1.0;;1.0;;;;;;;
2023-01-24;couvert/éclaircie;0.0;2.0;;2.0;;couvert/éclaircie;couvert/éclaircie;couvert;éclaircie;;
2023-01-25;couvert;0.0;0.0;;0.0;;couvert;couvert;couvert;;;
2023-01-26;couvert;0.0;0.0;;0.0;;couvert;couvert;couvert;;;
2023-01-27;couvert;0.0;0.0;;0.0;;couvert;couvert;couvert;;;
2023-01-28;couvert;0.0;0.0;;0.0;;couvert;couvert;couvert;;;
2023-01-29;couvert;0.0;0.0;;0.0;;couvert;couvert;couvert;;;
2023-01-30;éclaircie;0.0;4.0;;4.0;;éclaircie;éclaircie;éclaircie;;;
2023-01-31;beau temps;0.0;8.0;;8.0;;beau temps;beau temps;beau temps;;;
2023-02-01;beau temps;0.0;10.0;;10.0;;beau temps;beau temps;beau temps;;;
