Date;Poule_brute;Ponte_brute
2023-01-01;Joséphine;x
2023-01-01;Augustine;
2023-01-01;Cunégonde;x
2023-01-01;Pioupioute;
2023-01-01;Rémiel;
2023-01-01;Saquiel;?
2023-01-01;Valérie;
2023-01-01;Albertine;
2023-01-02;Joséphine;x
2023-01-02;Cunégonde;x
2023-01-02;Saquiel;?
2023-01-02;Pioupioute;
2023-01-02;Albertine;
2023-01-02;Augustine;
2023-01-02;Rémiel;
2023-01-02;Valérie;
2023-01-03;Valérie;
2023-01-03;Augustine;
2023-01-03;Albertine;
2023-01-03;Saquiel;?
2023-01-03;Cunégonde;x
2023-01-03;Joséphine;x
2023-01-03;Rémiel;
2023-01-03;Pioupioute;
2023-01-04;Albertine;
2023-01-04;Rémiel;
2023-01-04;Saquiel;x
2023-01-04;Valérie;
2023-01-04;Augustine;
2023-01-04;Cunégonde;
2023-01-04;Pioupioute;
2023-01-04;Joséphine;x
2023-01-05;Pioupioute;
2023-01-05;Albertine;
2023-01-05;Joséphine;x
2023-01-05;Saquiel;
2023-01-05;Valérie;
2023-01-05;Rémiel;x
2023-01-05;Augustine;
2023-01-05;Cunégonde;x
2023-01-06;Joséphine;x
2023-01-06;Saquiel;
2023-01-06;Rémiel;
2023-01-06;Cunégonde;x
2023-01-06;Pioupioute;
2023-01-06;Augustine;
2023-01-06;Valérie;
2023-01-06;Albertine;
2023-01-07;Cunégonde;
2023-01-07;Augustine;
2023-01-07;Valérie;
2023-01-07;Joséphine;x
2023-01-07;Rémiel;
2023-01-07;Albertine;
2023-01-07;Pioupioute;
2023-01-07;Saquiel;
2023-01-08;Augustine;
2023-01-08;Albertine;
2023-01-08;Cunégonde;x
2023-01-08;Rémiel;x
2023-01-08;Joséphine;x
2023-01-08;Valérie;
2023-01-08;Pioupioute;
2023-01-08;Saquiel;
2023-01-09;Cunégonde;x
2023-01-09;Rémiel;
2023-01-09;Pioupioute;
2023-01-09;Augustine;
2023-01-09;Valérie;
2023-01-09;Joséphine;x
2023-01-09;Saquiel;
2023-01-09;Albertine;
2023-01-10;Pioupioute;
2023-01-10;Joséphine;x
2023-01-10;Saquiel;x
2023-01-10;Rémiel;
2023-01-10;Albertine;
2023-01-10;Cunégonde;
2023-01-10;Augustine;
2023-01-10;Valérie;
2023-01-11;Albertine;x
