Météo;count
beau;313
couvert;57
couvert/pluie;42
pluie;40
pluie/éclaircies;39
éclaircies;36
voilé;36
ensoleillé;35
couvert/éclaircies;27
pluie/couvert;15
beau/vent;15
éclaircies/pluie;15
gris;13
éclaircie;12
nuageux;11
giboulées;11
beau/voilé;8
beau/pluie;8
beau/orageux;8
beau/couvert;8
beau/orage;7
beau temps;7
pluie/couvert/;7
éclaircies/vent;7
nuageux/pluie;6
voilé/couvert;6
beau/orages;6
pluie/vent;6
couvert/vent;6
canicule;5
ensoleillé ;5
voilé/pluie;5
couvert/beau;5
pluie/éclaircie;5
mitigé;5
voilé/beau;5
averses;4
pluie/éclaircies/vent;4
éclaircies/beau;4
nuageux/;4
éclaircies/couvert;4
pluie/couvert/éclaircies;4
brouillard/couvert;4
pluie/couvert/pluie;3
ensoleillé/pluie;3
ensoleillé/couvert;3
couvert/voilé;3
couvert/orage;3
pluie/beau;3
couvert/éclaircie;3
couvert/lourd;3
voilé/vent;3
beau/couvert/pluie;3
brumeux/beau;3
gris/éclaircies;2
brouillard/beau;2
voilé/vent/pluie;2
couvert/vent/éclaircies;2
éclaircies/vent/pluie;2
beau/nuageux;2
beau/qq nuages;2
bruine/couvert/éclaircies;2
éclaircies/;2
couvert/ensoleillé;2
variable;2
brouillard/voilé;2
couvert/éclaircies/beau;2
couvert/pluie/éclaircies;2
couvert/orages;2
nuageux/éclaircies;2
beau/orageux/pluie;2
éclaircies/pluie/vent;2
bruine/couvert;2
pluie/couvert/vent;2
bruine/éclaircies;2
lourd/orages;2
couvert/bruine;2
couvert/qq gouttes;2
orage/couvert;2
lourd;2
giboulées/éclaircies;2
pluie fine/couvert;2
éclaircies/couvert/pluie;2
ensoleillé/orage;2
averses/éclaircies;2
vent/éclaircie;1
bruine/pluie;1
gris ;1
gris/vent;1
averses/pluie;1
maussade;1
vigilance canicule;1
éclaircies/averses;1
mitigé/orages;1
mitigé/beau;1
soleil et qq nuages;1
beau/lourd/orageux;1
beau/averses;1
bruine/éclaircies/vent;1
bruine le matin;1
orage;1
nuageux/orage;1
couvert/vent/pluie;1
temps lourd/orages;1
pluie/giboulées;1
beau/orage/tempête;1
couvert/beau/vent;1
pluie/éclaircie/vent;1
beau puis bruine;1
bruine puis très beau;1
mitigé/;1
beau/orage fort;1
averses, éclaircies;1
vent/neige/éclaircie;1
éclaircie/averse;1
éclaircie/vent;1
mitigé/vent violent;1
vent/pluie;1
pluie/neige/soleil;1
pluie/neige/soleil/vent;1
vent/froid/couvert;1
nuageux/beau;1
assez beau;1
beau/voilé/pluie;1
dégagé;1
voilé/beau/couvert;1
voilé/couvert/tempête;1
éclaircies/tempête/pluie;1
beau/vent chaud;1
nuageux/vent;1
couvert/voilé/pluie;1
qq nuages/vent;1
couvert/pluie fine/éclaircie;1
couvert/pluie/vent/éclaircies;1
pluie/éclaircies/pluie;1
beau/orages/beau;1
voilé/vent/orages;1
pluie/gris;1
beau/pluie/vent;1
brouillard/beau/voilé;1
éclaircies/gris;1
très voilé;1
bruine/gris/éclaircies;1
vent/bruine;1
pluie/neige/éclaircies;1
gris/pluie;1
gris/vent/éclaircies/pluie;1
bruine;1
averses/éclaircies/vent;1
averses/pluie/vent;1
fortes pluie/acalmie;1
orageux/mitigé;1
bruine/éclaircies/beau;1
brumeux/couvert;1
orages;1
orages/éclaircies/pluie;1
éclaircie/couvert;1
beau/chaud;1
qq nuages/beau/vent;1
couvert/bruine/orage;1
belles éclaircies/vent;1
assez beau/ vent;1
bruine/nuageux;1
nuageux/vent/pluie;1
nuageux/orageux;1
éclaircie/pluie;1
beau/brouillard épais;1
brouillard/;1
brouillard épais;1
couvert/tempête;1
nuageux/couvert;1
couvert/éclaircies/pluie;1
éclaircies/dégradation/pluie;1
brouillard épais/beau;1
beau/dégradation/pluie;1
éclaircies/pluie/;1
éclaircies/orages;1
vent/pluie/éclaircies;1
ensoleillé/orage sec;1
pluie/bruine;1
couvert/éclaircies/averses;1
couvert/belles éclaircies;1
voilé/couvert/éclaircies;1
petites averses/éclaircies;1
éclaircies/grêle et pluie;1
ensoleillé/orageux;1
couvert/averse orageuse;1
variable/pluie;1
voilé/couvert/orage;1
orageux/orages;1
bruine/voilé/orageux;1
orageux/beau;1
nuageux/petite averse;1
nuageux/orages;1
ensoleillé/beau;1
éclaircies/bruine;1
pluie/nuageux;1
orages faibles;1
ensoleillé/voilé/orage;1
beau(ciel blanc);1
pluie/couvert/orages;1
éclaircies/pluie/éclaircies;1
beau/voilé/orages;1
orage/pluie;1
couvert/petite averse/éclaircies;1
pluie/nuageux/pluie;1
nuageux /pluie;1
ensoleillé/voilé;1
ensoleillé/pluie ;1
couvert/éclaircies/pluie-neige;1
pluie/éclaircies/orage avec grésil;1
ensoleillé/couvert/pluie;1
?;1
brouillard;1
