Date;T°C (12h-15h);Pluie(mm);Météo;Humidité;Météo_1;Météo_2;Météo_3;Météo_4;Type_Météo_1;Type_Météo_2;Type_Météo_3;Type_Météo_4
2023-01-01;14.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-02;13.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-03;12.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-04;15.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-05;14.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-06;14.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-07;13.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-08;9.0;0.0;mitigé;;mitigé;;;;MITIGE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-09;8.0;16.0;vent/éclaircie;;vent;éclaircie;;;VENT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-01-10;14.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-11;9.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-12;12.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-13;13.0;0.0;mitigé;;mitigé;;;;MITIGE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-14;13.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-15;10.0;2.0;pluie/beau;;pluie;beau;;;PLUIE;BEAU;NON RENSEIGNE;NON RENSEIGNE
2023-01-16;6.0;50.0;pluie/vent;;pluie;vent;;;PLUIE;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-01-17;5.0;1.0;pluie/vent;;pluie;vent;;;PLUIE;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-01-18;5.0;5.0;pluie/éclaircie;;pluie;éclaircie;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-01-19;5.0;0.0;couvert/éclaircie;;couvert;éclaircie;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-01-20;5.0;12.0;pluie/neige/soleil;;pluie;neige;soleil;;PLUIE;NEIGE;BEAU;NON RENSEIGNE
2023-01-21;2.0;2.0;pluie/neige/soleil/vent;;pluie;neige;soleil;vent;PLUIE;NEIGE;BEAU;VENT
2023-01-22;0.0;0.0;couvert/vent;;couvert;vent;;;COUVERT;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-01-23;1.0;0.0;;;;;;;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-24;2.0;0.0;couvert/éclaircie;;couvert;éclaircie;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2023-01-25;0.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-26;0.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-27;0.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-28;0.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-29;0.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-30;4.0;0.0;éclaircie;;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-01-31;8.0;0.0;beau temps;;beau temps;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-01;10.0;0.0;beau temps;;beau temps;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-02;12.0;0.0;beau temps;;beau temps;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-03;12.0;0.0;beau temps;;beau temps;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-04;10.0;0.0;beau temps;;beau temps;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-05;10.0;0.0;beau temps;;beau temps;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-06;12.0;0.0;beau temps;;beau temps;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-07;8.0;0.0;couvert/vent;;couvert;vent;;;COUVERT;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-02-08;8.0;0.0;beau/vent;;beau;vent;;;BEAU;VENT;NON RENSEIGNE;NON RENSEIGNE
2023-02-09;10.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-10;14.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-11;14.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-12;14.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-13;15.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-14;15.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-15;16.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-16;16.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-17;16.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-18;18.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-19;18.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-20;20.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-21;15.0;0.0;mitigé;;mitigé;;;;MITIGE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2023-02-22;13.0;0.0;couvert;;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
