Date,T°C (12-15h),T°C poulailler,Pluie,Météo,commentaires
01/01/2023,14,,0,beau,
02/01/2023,13,,0,beau,
03/01/2023,12,,0,beau,
04/01/2023,15,,0,beau,
05/01/2023,14,,0,beau,
06/01/2023,14,,0,beau,
07/01/2023,13,,0,beau,
08/01/2023,9,,0,mitigé,
09/01/2023,8,,16,vent éclaircie,
10/01/2023,14,,0,beau,
11/01/2023,9,,0,beau,
12/01/2023,12,,0,beau,
13/01/2023,13,,0,mitigé,
14/01/2023,13,,0,beau,
15/01/2023,10,,2,pluie/beau,
16/01/2023,6,,50,pluie/vent,
17/01/2023,5,,1,pluie/vent,
18/01/2023,5,,5,pluie/éclaircie,
19/01/2023,5,,,couvert/éclaircie,
20/01/2023,5,,12,pluie/neige/soleil,
21/01/2023,2,,2,idem/vent,
22/01/2023,0,,0,Couvert/vent,
23/01/2023,1,,0,,malade (moi)
24/01/2023,2,,0,couvert/éclaircie,
25/01/2023,0,,0,couvert,
26/01/2023,0,,0,couvert,
27/01/2023,0,,0,couvert,
28/01/2023,0,,0,couvert,Cunégonde pique Shrek
29/01/2023,0,,0,couvert,aliment poulette+vitamines
30/01/2023,4,,0,éclaircie,
31/01/2023,8,,0,beau temps,
01/02/2023,10,,0,beau temps,pas sûre de l'œuf de Pioupioute
02/02/2023,12,,0,beau temps,petit lait en boisson/aliment pondeuse
03/02/2023,12,,0,beau temps,petit lait+aliment
04/02/2023,10,,0,beau temps,petit lait+aliment
05/02/2023,10,,0,beau temps,aliment
06/02/2023,12,,0,beau temps,
07/02/2023,8,,0,couvert/vent,
08/02/2023,8,,0,beau/vent,
09/02/2023,10,,0,beau,
10/02/2023,14,,0,beau,
11/02/2023,14,,0,beau,aliment+blé
12/02/2023,14,,0,beau,
13/02/2023,15,,0,beau,
14/02/2023,15,,0,beau,
15/02/2023,16,,0,beau,
16/02/2023,16,,0,beau,
17/02/2023,16,,0,beau,
18/02/2023,18,,0,beau,avipar(vermifuge naturel)
19/02/2023,18,,0,beau,
