Date;Joséphine;Albertine;Cunégonde;Valérie;Pioupioute;Rémiel;Nina et Tina;Marans;Tina;T°C (12h-15h);T°C nuit;H %;THI;Pluie(mm);Météo;Commentaires
01/01/2024;;x;;;;;;1;;15;5;38,00%;;;beau;pas se fier aux noms des marans mais juste à la colonne marans
02/01/2024;;;x;;;;;;;13;8;44,00%;;;éclaircies;
03/01/2024;;x;;;;;;1;;12;10;61,00%;;1;gris/pluie;
04/01/2024;;;x;;;;;;;14;7;42,00%;;;beau;
05/01/2024;;x;;x ?;;;;1;;6;6;78,00%;;12;pluie;
06/01/2024;;;;;;;;;;5;3;82,00%;;10;pluie;
07/01/2024;;x;x;;;;;1;;3;0;60,00%;;;gris;
08/01/2024;;;;;;;;;;4;1;59,00%;;;gris;
09/01/2024;;;x;;;;;;;4;-2;58,00%;;;beau;
10/01/2024;;;;;;;;;;3;2;71,00%;;;gris;-4°c ce matin
11/01/2024;;;;;;;;;;4;2;70,00%;;4;pluie/neige/éclaircies;
12/01/2024;;;x;;;;;;;6;0;53,00%;;;beau;gelée matinale
13/01/2024;;;;;;;;;;11;4;47,00%;;;beau;gelée matinale
14/01/2024;;;x;;;;;;;15;9;45,00%;;6;voilé/pluie;
15/01/2024;;;;;;;;;;12;10;85,00%;;10;pluie;
16/01/2024;;;x;;;;;;;15;11;53,00%;;;voilé;
17/01/2024;;;;;;;;;;10;7;76,00%;;;gris;
18/01/2024;;;x;;;;;;;19;6;34,00%;;2;beau/couvert/pluie;tempête à 18h30
19/01/2024;;;;x ?;;;;;;3;0;64,00%;;;gris;
20/01/2024;x;;;;;;;;;8;-2;38,00%;;;beau;-4°C ce matin à 6h
21/01/2024;;;x;;;;;;;15;4;31,00%;;;beau;-4°C ce matin 6h
22/01/2024;x;;x;;;;;;;11;10;41,00%;;2;voilé/pluie;petite gelée matinale/pluie la nuit
23/01/2024;;;;;;;;;;13;9;45,00%;;;éclaircies;
24/01/2024;;;x;;;;;;;15;8;51,00%;;;voilé;
25/01/2024;x(mou);;;;;;;;;18;8;42,00%;;;beau;
26/01/2024;;;x;;;;;;;13;6;53,00%;;;voilé;
27/01/2024;;;;;;;;;;15;7;47,00%;;;beau;petite gelée matinale
28/01/2024;;;x;;;;;;;16;9;45,00%;;;beau/vent;
29/01/2024;;;x;;;;;;;16;10;44,00%;;;beau/vent;
30/01/2024;;;;;;;x;1;;17;8;40,00%;;;beau/vent;
31/01/2024;;;x;;;;x;2;x ?;16;6;37,00%;;;voilé;petite gelée matinale
01/02/2024;;;x;;;;;;;14;8;53,00%;;;très voilé;
02/02/2024;;;;;;;x;1;;12;9;55,00%;;;éclaircies/gris;très humide ce matin/sol mouillé
03/02/2024;;;x;;;;x;1;;16;7;49,00%;;;brouillard/beau;
