Date,T°C (12-15h),T°C poulailler,Pluie (0 = non renseigné),Météo,commentaires,Nom de la poule,Ponte,Etat de l'oeuf,Evènement,Nombre d'oeufs
01/01/2023,,,,,,Joséphine,x,RAS,RAS,1
02/01/2023,,,,,,Joséphine,x,RAS,RAS,1
03/01/2023,,,,,,Joséphine,x,RAS,RAS,1
04/01/2023,15,,0,beau,,Joséphine,x,RAS,RAS,1
05/01/2023,14,,0,beau,,Joséphine,x,RAS,RAS,1
06/01/2023,oubli,,0,beau,,Joséphine,x,RAS,RAS,1
07/01/2023,13,,0,beau,,Joséphine,x,RAS,RAS,1
08/01/2023,9,,0,mitigé,,Joséphine,x,RAS,RAS,1
09/01/2023,8,,16,vent éclaircie,,Joséphine,x,RAS,RAS,1
10/01/2023,14,,0,beau,,Joséphine,x,RAS,RAS,1
11/01/2023,9,,0,beau,,Joséphine,x,RAS,RAS,1
12/01/2023,12,,0,beau,,Joséphine,x,RAS,RAS,1
13/01/2023,13,,0,mitigé,,Joséphine,x,RAS,RAS,1
14/01/2023,13,,0,beau,,Joséphine,x,RAS,RAS,1
15/01/2023,10,,2,pluie/beau,,Joséphine,x,RAS,RAS,1
16/01/2023,6,,50,pluie/vent,,Joséphine,,no egg,RAS,0
17/01/2023,5,,1,pluie/vent,,Joséphine,x,RAS,RAS,1
18/01/2023,5,,5,pluie/éclaircie,,Joséphine,x,RAS,RAS,1
19/01/2023,5,,,couvert/éclaircie,,Joséphine,x,RAS,RAS,1
20/01/2023,5,,12,pluie/neige/soleil,,Joséphine,x,RAS,RAS,1
21/01/2023,2,,2,idem/vent,,Joséphine,x,RAS,RAS,1
22/01/2023,0,,0,Couvert/vent,,Joséphine,x,RAS,RAS,1
23/01/2023,oubli,,,oubli,malade (moi),Joséphine,x,RAS,RAS,1
24/01/2023,2,,,couvert/éclaircie,,Joséphine,x,RAS,RAS,1
25/01/2023,0,,,couvert,,Joséphine,,no egg,RAS,0
26/01/2023,0,,,couvert,,Joséphine,x,RAS,RAS,1
27/01/2023,0,,,,,Joséphine,,no egg,RAS,0
28/01/2023,0,,,couvert,Cunégonde pique Shrek,Joséphine,,no egg,RAS,0
29/01/2023,0,,,couvert,aliment poulette+vitamines,Joséphine,,no egg,RAS,0
30/01/2023,4,,,éclaircie,,Joséphine,,no egg,RAS,0
31/01/2023,8,,0,beau temps,,Joséphine,,no egg,RAS,0
01/02/2023,10,,0,beau temps,pas sûre de l'œuf de Pioupioute,Joséphine,,no egg,RAS,0
