Date,Nom de la poule,Ponte,Nombre d'oeufs,Etat de l'oeuf,Evènement
01/01/2023,Joséphine,x,1,RAS,RAS
02/01/2023,Joséphine,x,1,RAS,RAS
03/01/2023,Joséphine,x,1,RAS,RAS
04/01/2023,Joséphine,x,1,RAS,RAS
05/01/2023,Joséphine,x,1,RAS,RAS
06/01/2023,Joséphine,x,1,RAS,RAS
07/01/2023,Joséphine,x,1,RAS,RAS
08/01/2023,Joséphine,x,1,RAS,RAS
09/01/2023,Joséphine,x,1,RAS,RAS
10/01/2023,Joséphine,x,1,RAS,RAS
11/01/2023,Joséphine,x,1,RAS,RAS
12/01/2023,Joséphine,x,1,RAS,RAS
13/01/2023,Joséphine,x,1,RAS,RAS
14/01/2023,Joséphine,x,1,RAS,RAS
15/01/2023,Joséphine,x,1,RAS,RAS
16/01/2023,Joséphine,,0,no egg,RAS
17/01/2023,Joséphine,x,1,RAS,RAS
18/01/2023,Joséphine,x,1,RAS,RAS
19/01/2023,Joséphine,x,1,RAS,RAS
20/01/2023,Joséphine,x,1,RAS,RAS
21/01/2023,Joséphine,x,1,RAS,RAS
22/01/2023,Joséphine,x,1,RAS,RAS
23/01/2023,Joséphine,x,1,RAS,RAS
24/01/2023,Joséphine,x,1,RAS,RAS
25/01/2023,Joséphine,,0,no egg,RAS
26/01/2023,Joséphine,x,1,RAS,RAS
27/01/2023,Joséphine,,0,no egg,RAS
28/01/2023,Joséphine,,0,no egg,RAS
29/01/2023,Joséphine,,0,no egg,RAS
30/01/2023,Joséphine,,0,no egg,RAS
31/01/2023,Joséphine,,0,no egg,RAS
01/02/2023,Joséphine,,0,no egg,RAS
02/02/2023,Joséphine,,0,no egg,RAS
03/02/2023,Joséphine,,0,no egg,RAS
04/02/2023,Joséphine,,0,no egg,RAS
05/02/2023,Joséphine,,0,no egg,RAS
06/02/2023,Joséphine,,0,no egg,RAS
07/02/2023,Joséphine,,0,no egg,RAS
08/02/2023,Joséphine,,0,no egg,RAS
09/02/2023,Joséphine,,0,no egg,RAS
10/02/2023,Joséphine,x,1,RAS,RAS
11/02/2023,Joséphine,x,1,RAS,RAS
12/02/2023,Joséphine,x,1,RAS,RAS
13/02/2023,Joséphine,x,1,RAS,RAS
14/02/2023,Joséphine,,0,no egg,RAS
15/02/2023,Joséphine,x,1,RAS,RAS
16/02/2023,Joséphine,x,1,RAS,RAS
17/02/2023,Joséphine,x,1,RAS,RAS
18/02/2023,Joséphine,x,1,RAS,RAS
19/02/2023,Joséphine,x,1,RAS,RAS
20/02/2023,Joséphine,x,1,RAS,RAS
21/02/2023,Joséphine,x,1,RAS,RAS
22/02/2023,Joséphine,x,1,RAS,RAS
23/02/2023,Joséphine,x,1,RAS,RAS
24/02/2023,Joséphine,x,1,RAS,RAS
25/02/2023,Joséphine,x,1,RAS,RAS
26/02/2023,Joséphine,,0,no egg,RAS
27/02/2023,Joséphine,x,1,RAS,RAS
28/02/2023,Joséphine,x,1,RAS,RAS
01/03/2023,Joséphine,x,1,RAS,RAS
02/03/2023,Joséphine,x,1,RAS,RAS
03/03/2023,Joséphine,x,1,RAS,RAS
04/03/2023,Joséphine,x,1,RAS,RAS
05/03/2023,Joséphine,x,1,RAS,RAS
06/03/2023,Joséphine,x,1,RAS,RAS
07/03/2023,Joséphine,x,1,RAS,RAS
08/03/2023,Joséphine,x,1,RAS,RAS
09/03/2023,Joséphine,x,1,RAS,RAS
10/03/2023,Joséphine,x,1,RAS,RAS
11/03/2023,Joséphine,x,1,RAS,RAS
12/03/2023,Joséphine,x,1,RAS,RAS
13/03/2023,Joséphine,x,1,RAS,RAS
14/03/2023,Joséphine,,0,no egg,RAS
15/03/2023,Joséphine,x,1,RAS,RAS
16/03/2023,Joséphine,x,1,RAS,RAS
17/03/2023,Joséphine,x,1,RAS,RAS
18/03/2023,Joséphine,x,1,RAS,RAS
19/03/2023,Joséphine,x,1,RAS,RAS
20/03/2023,Joséphine,x,1,RAS,RAS
21/03/2023,Joséphine,x,1,RAS,RAS
22/03/2023,Joséphine,x,1,RAS,RAS
23/03/2023,Joséphine,x,1,RAS,RAS
24/03/2023,Joséphine,x,1,RAS,RAS
25/03/2023,Joséphine,x,1,RAS,RAS
26/03/2023,Joséphine,,0,no egg,RAS
27/03/2023,Joséphine,x,1,RAS,RAS
28/03/2023,Joséphine,x,1,RAS,RAS
29/03/2023,Joséphine,x,1,RAS,RAS
30/03/2023,Joséphine,x,1,RAS,RAS
31/03/2023,Joséphine,x,1,RAS,RAS
01/04/2023,Joséphine,x,1,RAS,RAS
02/04/2023,Joséphine,x,1,RAS,RAS
03/04/2023,Joséphine,x,1,RAS,RAS
04/04/2023,Joséphine,x,1,RAS,RAS
05/04/2023,Joséphine,x,1,RAS,RAS
06/04/2023,Joséphine,x,1,RAS,RAS
07/04/2023,Joséphine,,0,no egg,RAS
08/04/2023,Joséphine,x,1,RAS,RAS
09/04/2023,Joséphine,,0,no egg,RAS
10/04/2023,Joséphine,x,1,RAS,RAS
11/04/2023,Joséphine,x,1,RAS,RAS
12/04/2023,Joséphine,x,1,RAS,RAS
13/04/2023,Joséphine,,0,no egg,RAS
14/04/2023,Joséphine,x,1,RAS,RAS
15/04/2023,Joséphine,x,1,RAS,RAS
16/04/2023,Joséphine,x,1,RAS,RAS
17/04/2023,Joséphine,x,1,RAS,RAS
18/04/2023,Joséphine,x,1,RAS,RAS
19/04/2023,Joséphine,x,1,RAS,RAS
20/04/2023,Joséphine,x,1,RAS,RAS
21/04/2023,Joséphine,x,1,RAS,RAS
22/04/2023,Joséphine,x,1,RAS,RAS
23/04/2023,Joséphine,x,1,RAS,RAS
24/04/2023,Joséphine,x,1,RAS,RAS
25/04/2023,Joséphine,x,1,RAS,RAS
26/04/2023,Joséphine,x,1,RAS,RAS
27/04/2023,Joséphine,x,1,RAS,RAS
28/04/2023,Joséphine,,0,no egg,RAS
29/04/2023,Joséphine,x,1,RAS,RAS
30/04/2023,Joséphine,,0,no egg,RAS
01/05/2023,Joséphine,x,1,RAS,RAS
02/05/2023,Joséphine,x,1,RAS,RAS
03/05/2023,Joséphine,x,1,RAS,RAS
04/05/2023,Joséphine,x,1,RAS,RAS
05/05/2023,Joséphine,,0,no egg,RAS
06/05/2023,Joséphine,x,1,RAS,RAS
07/05/2023,Joséphine,x,1,RAS,RAS
08/05/2023,Joséphine,x,1,RAS,RAS
09/05/2023,Joséphine,x,1,RAS,RAS
10/05/2023,Joséphine,x,1,RAS,RAS
11/05/2023,Joséphine,,0,no egg,RAS
12/05/2023,Joséphine,x,1,RAS,RAS
13/05/2023,Joséphine,x,1,RAS,RAS
14/05/2023,Joséphine,x,1,RAS,RAS
15/05/2023,Joséphine,x,1,RAS,RAS
16/05/2023,Joséphine,x,1,RAS,RAS
17/05/2023,Joséphine,x,1,RAS,RAS
18/05/2023,Joséphine,,0,no egg,RAS
19/05/2023,Joséphine,,0,no egg,RAS
20/05/2023,Joséphine,,0,no egg,RAS
21/05/2023,Joséphine,x,1,RAS,RAS
22/05/2023,Joséphine,x,1,RAS,RAS
23/05/2023,Joséphine,,0,no egg,RAS
24/05/2023,Joséphine,x,1,RAS,RAS
25/05/2023,Joséphine,x,1,RAS,RAS
26/05/2023,Joséphine,x,1,RAS,RAS
27/05/2023,Joséphine,x,1,RAS,RAS
