Date;Poule;Ponte;Etat_oeuf;Doute;Statut_Poule;Remarques
2023-01-01;Joséphine;1;RAS;False;Présente;
2023-01-01;Augustine;0;RAS;False;Présente;
2023-01-01;Cunégonde;1;RAS;False;Présente;
2023-01-01;Pioupioute;0;RAS;False;Présente;
2023-01-01;Valérie;0;RAS;False;Présente;
2023-01-01;Rémiel;0;RAS;False;Présente;
2023-01-01;Saquiel;0;RAS;True;Présente;
2023-01-01;Albertine;0;RAS;False;Présente;
2023-01-02;Joséphine;1;RAS;False;Présente;
2023-01-02;Augustine;0;RAS;False;Présente;
2023-01-02;Cunégonde;1;RAS;False;Présente;
2023-01-02;Pioupioute;0;RAS;False;Présente;
2023-01-02;Valérie;0;RAS;False;Présente;
2023-01-02;Rémiel;0;RAS;False;Présente;
2023-01-02;Saquiel;0;RAS;True;Présente;
2023-01-02;Albertine;0;RAS;False;Présente;
2023-01-03;Joséphine;1;RAS;False;Présente;
2023-01-03;Augustine;0;RAS;False;Présente;
2023-01-03;Cunégonde;1;RAS;False;Présente;
2023-01-03;Pioupioute;0;RAS;False;Présente;
2023-01-03;Valérie;0;RAS;False;Présente;
2023-01-03;Rémiel;0;RAS;False;Présente;
2023-01-03;Saquiel;0;RAS;True;Présente;
2023-01-03;Albertine;0;RAS;False;Présente;
2023-01-04;Joséphine;1;RAS;False;Présente;
2023-01-04;Augustine;0;RAS;False;Présente;
2023-01-04;Cunégonde;0;RAS;False;Présente;
2023-01-04;Pioupioute;0;RAS;False;Présente;
2023-01-04;Valérie;0;RAS;False;Présente;
2023-01-04;Rémiel;0;RAS;False;Présente;
2023-01-04;Saquiel;1;RAS;False;Présente;
2023-01-04;Albertine;0;RAS;False;Présente;
2023-01-05;Joséphine;1;RAS;False;Présente;
2023-01-05;Augustine;0;RAS;False;Présente;
2023-01-05;Cunégonde;1;RAS;False;Présente;
2023-01-05;Pioupioute;0;RAS;False;Présente;
2023-01-05;Valérie;0;RAS;False;Présente;
2023-01-05;Rémiel;1;RAS;False;Présente;
2023-01-05;Saquiel;0;RAS;False;Présente;
2023-01-05;Albertine;0;RAS;False;Présente;
2023-01-06;Joséphine;1;RAS;False;Présente;
2023-01-06;Augustine;0;RAS;False;Présente;
2023-01-06;Cunégonde;1;RAS;False;Présente;
2023-01-06;Pioupioute;0;RAS;False;Présente;
2023-01-06;Valérie;0;RAS;False;Présente;
2023-01-06;Rémiel;0;RAS;False;Présente;
2023-01-06;Saquiel;0;RAS;False;Présente;
2023-01-06;Albertine;0;RAS;False;Présente;
2023-01-07;Joséphine;1;RAS;False;Présente;
2023-01-07;Augustine;0;RAS;False;Présente;
2023-01-07;Cunégonde;0;RAS;False;Présente;
2023-01-07;Pioupioute;0;RAS;False;Présente;
2023-01-07;Valérie;0;RAS;False;Présente;
2023-01-07;Rémiel;0;RAS;False;Présente;
2023-01-07;Saquiel;0;RAS;False;Présente;
2023-01-07;Albertine;0;RAS;False;Présente;
2023-01-08;Joséphine;1;RAS;False;Présente;
2023-01-08;Augustine;0;RAS;False;Présente;
2023-01-08;Cunégonde;1;RAS;False;Présente;
2023-01-08;Pioupioute;0;RAS;False;Présente;
2023-01-08;Valérie;0;RAS;False;Présente;
2023-01-08;Rémiel;1;RAS;False;Présente;
2023-01-08;Saquiel;0;RAS;False;Présente;
2023-01-08;Albertine;0;RAS;False;Présente;
2023-01-09;Joséphine;1;RAS;False;Présente;
2023-01-09;Augustine;0;RAS;False;Présente;
2023-01-09;Cunégonde;1;RAS;False;Présente;
2023-01-09;Pioupioute;0;RAS;False;Présente;
2023-01-09;Valérie;0;RAS;False;Présente;
2023-01-09;Rémiel;0;RAS;False;Présente;
2023-01-09;Saquiel;0;RAS;False;Présente;
2023-01-09;Albertine;0;RAS;False;Présente;
2023-01-10;Joséphine;1;RAS;False;Présente;
2023-01-10;Augustine;0;RAS;False;Présente;
2023-01-10;Cunégonde;0;RAS;False;Présente;
2023-01-10;Pioupioute;0;RAS;False;Présente;
2023-01-10;Valérie;0;RAS;False;Présente;
2023-01-10;Rémiel;0;RAS;False;Présente;
2023-01-10;Saquiel;1;RAS;False;Présente;
2023-01-10;Albertine;0;RAS;False;Présente;
2023-01-11;Joséphine;1;RAS;False;Présente;
2023-01-11;Augustine;0;RAS;False;Présente;
2023-01-11;Cunégonde;1;RAS;False;Présente;
2023-01-11;Pioupioute;0;RAS;False;Présente;
2023-01-11;Valérie;0;RAS;False;Présente;
2023-01-11;Rémiel;0;RAS;False;Présente;
2023-01-11;Saquiel;0;RAS;False;Présente;
2023-01-11;Albertine;1;RAS;False;Présente;
2023-01-12;Joséphine;1;RAS;False;Présente;
2023-01-12;Augustine;0;RAS;False;Présente;
2023-01-12;Cunégonde;1;RAS;False;Présente;
2023-01-12;Pioupioute;0;RAS;False;Présente;
2023-01-12;Valérie;0;RAS;False;Présente;
2023-01-12;Rémiel;0;RAS;False;Présente;
2023-01-12;Saquiel;1;RAS;False;Présente;
2023-01-12;Albertine;0;RAS;False;Présente;
2023-01-13;Joséphine;1;RAS;False;Présente;
2023-01-13;Augustine;0;RAS;False;Présente;
2023-01-13;Cunégonde;0;RAS;False;Présente;
2023-01-13;Pioupioute;0;RAS;False;Présente;
2023-01-13;Valérie;0;RAS;False;Présente;
2023-01-13;Rémiel;0;RAS;False;Présente;
2023-01-13;Saquiel;0;RAS;False;Présente;
2023-01-13;Albertine;0;RAS;False;Présente;
2023-01-14;Joséphine;1;RAS;False;Présente;
2023-01-14;Augustine;0;RAS;False;Présente;
2023-01-14;Cunégonde;0;RAS;False;Présente;
2023-01-14;Pioupioute;0;RAS;False;Présente;
2023-01-14;Valérie;0;RAS;False;Présente;
2023-01-14;Rémiel;0;RAS;False;Présente;
2023-01-14;Saquiel;1;RAS;False;Présente;
2023-01-14;Albertine;1;RAS;False;Présente;
2023-01-15;Joséphine;1;RAS;False;Présente;
2023-01-15;Augustine;0;RAS;False;Présente;
2023-01-15;Cunégonde;1;RAS;False;Présente;
2023-01-15;Pioupioute;0;RAS;False;Présente;
2023-01-15;Valérie;0;RAS;False;Présente;
2023-01-15;Rémiel;0;RAS;False;Présente;
2023-01-15;Saquiel;0;RAS;False;Présente;
2023-01-15;Albertine;0;RAS;False;Présente;
2023-01-16;Joséphine;0;RAS;False;Présente;
2023-01-16;Augustine;0;RAS;False;Présente;
2023-01-16;Cunégonde;0;RAS;False;Présente;
2023-01-16;Pioupioute;0;RAS;False;Présente;
2023-01-16;Valérie;0;RAS;False;Présente;
2023-01-16;Rémiel;0;RAS;False;Présente;
2023-01-16;Saquiel;1;RAS;False;Présente;
2023-01-16;Albertine;1;RAS;False;Présente;
2023-01-17;Joséphine;1;RAS;False;Présente;
2023-01-17;Augustine;0;RAS;False;Présente;
2023-01-17;Cunégonde;1;RAS;False;Présente;
2023-01-17;Pioupioute;0;RAS;False;Présente;
2023-01-17;Valérie;0;RAS;False;Présente;
2023-01-17;Rémiel;0;RAS;False;Présente;
2023-01-17;Saquiel;0;RAS;False;Présente;
2023-01-17;Albertine;0;RAS;False;Présente;
2023-01-18;Joséphine;1;RAS;False;Présente;
2023-01-18;Augustine;0;RAS;False;Présente;
2023-01-18;Cunégonde;1;RAS;False;Présente;
2023-01-18;Pioupioute;0;RAS;False;Présente;
2023-01-18;Valérie;0;RAS;False;Présente;
2023-01-18;Rémiel;0;RAS;False;Présente;
2023-01-18;Saquiel;1;RAS;False;Présente;
2023-01-18;Albertine;0;RAS;False;Présente;
2023-01-19;Joséphine;1;RAS;False;Présente;
2023-01-19;Augustine;0;RAS;False;Présente;
2023-01-19;Cunégonde;0;RAS;False;Présente;
2023-01-19;Pioupioute;0;RAS;False;Présente;
2023-01-19;Valérie;0;RAS;False;Présente;
2023-01-19;Rémiel;0;RAS;False;Présente;
2023-01-19;Saquiel;0;RAS;False;Présente;
2023-01-19;Albertine;1;RAS;False;Présente;
2023-01-20;Joséphine;1;RAS;False;Présente;
2023-01-20;Augustine;0;RAS;False;Présente;
2023-01-20;Cunégonde;1;RAS;False;Présente;
2023-01-20;Pioupioute;0;RAS;False;Présente;
2023-01-20;Valérie;0;RAS;False;Présente;
2023-01-20;Rémiel;0;RAS;False;Présente;
